score,item_id,createdBy_id,sourceText,targetText,targetID,referenceText
95,11,1,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","ორშაბათს, სარა დანიუსმა, შვედეთის აკადემიის ლიტერატურის ნობელის კომიტეტის მუდმივმა მდივანმა, საჯაროდ გამოაცხადა შვედეთის რადიოში, Sveriges Radio-ს რადიოპროგრამაზე, რომ კომიტეტმა, რომელსაც ბობ დილანისთვის 2016 წლის ლიტერატურის ნობელის პრემიის მოგების შესახებ ვერ დაუკავშირდა, მიატოვა მასთან დაკავშირების მცდელობები.",kona,"სარა დენიუსმა, ლიტერატურის მიმართულებით შვედეთის აკადემიის ნობელის კომიტეტის მუდმივმა მდივანმა, ორშაბათს შვედეთის Sveriges Radio-ს რადიო გადაცემის ფარგლებში საჯაროდ განაცხადა, რომ 2016 წელს ლიტერატურაში ნობელის პრემიის მოგებასთან დაკავშირებით კომიტეტი ბობ დილანს პირდაპირ ვერ უკავშირდებოდა, რის შემდეგაც მათ შეწყვიტეს მცდელობები."
0,12,1,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","თებერვალს, სავარაუდოდ, სავარაუდოდ, სავარაუდოდ, სავარაუდოდ, სავარაუდოდ განაცხადა, რომ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ, რომ სავარაუდოდ 2016 სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდნია, რომ სავარაუდოდნენ ბომა დილანისთვის, რომელიც 2016 სავარაუდოდ სავარაუდოდ სავარაუდოდნენ.",small100,"სარა დენიუსმა, ლიტერატურის მიმართულებით შვედეთის აკადემიის ნობელის კომიტეტის მუდმივმა მდივანმა, ორშაბათს შვედეთის Sveriges Radio-ს რადიო გადაცემის ფარგლებში საჯაროდ განაცხადა, რომ 2016 წელს ლიტერატურაში ნობელის პრემიის მოგებასთან დაკავშირებით კომიტეტი ბობ დილანს პირდაპირ ვერ უკავშირდებოდა, რის შემდეგაც მათ შეწყვიტეს მცდელობები."
77,13,1,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","დანიუსმა თქვა: ""ამჟამად ჩვენ არაფერს ვაკეთებთ. მე დავურეკე და გავუგზავნე ელ.წერილი მის უახლოეს თანამშრომელს და მივიღე ძალიან მეგობრული პასუხები. ჯერჯერობით ეს, რა თქმა უნდა, საკმარისია.""",google_sheet,"„ჩვენ არაფერს ვაკეთებთ ამ ეტაპზე. მე გავუგზავნე ელექტრონული წერილები და დავურეკე მის უახლოეს თანამშრომლებს და მივიღე ძალიან მეგობრული პასუხები. ამ ეტაპისთვის, ეს ნამდვილად საკმარისია,“ — განაცხადა დენიუსმა."
78,14,1,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","დანიუსმა თქვა: ""ამჟამად არაფერს ვაკეთებთ. მე დავურეკე და მივწერე ელ.წერილი მის უახლოეს თანამოაზრეს და მივიღე ძალიან მეგობრული პასუხები. ჯერჯერობით ეს ნამდვილად საკმარისია.""",kona,"„ჩვენ არაფერს ვაკეთებთ ამ ეტაპზე. მე გავუგზავნე ელექტრონული წერილები და დავურეკე მის უახლოეს თანამშრომლებს და მივიღე ძალიან მეგობრული პასუხები. ამ ეტაპისთვის, ეს ნამდვილად საკმარისია,“ — განაცხადა დენიუსმა."
32,15,1,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius აცხადებს, ""დღეს ჩვენ არაფერი არ გააკეთებთ. მე დარეგისტრირდა და გაგზავნა ელ-ფოსტა მისი ახლოს თანამშრომელს და მიიღო ძალიან მეგობრული პასუხი. ახლა, ეს არის, რა თქმა უნდა, საკმარისი.""",small100,"„ჩვენ არაფერს ვაკეთებთ ამ ეტაპზე. მე გავუგზავნე ელექტრონული წერილები და დავურეკე მის უახლოეს თანამშრომლებს და მივიღე ძალიან მეგობრული პასუხები. ამ ეტაპისთვის, ეს ნამდვილად საკმარისია,“ — განაცხადა დენიუსმა."
87,16,1,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","ადრე, Ring-ის აღმასრულებელმა დირექტორმა, ჯეიმი სიმინოფმა, აღნიშნა, რომ კომპანია დაიწყო მაშინ, როდესაც მისი კარზე ზარი არ ისმოდა მის ავტოფარეხში მდებარე მაღაზიიდან.",google_sheet,"Ring-ის აღმასრულებელმა დირექტორმა, ჯეიმი სიმონოვმა მანამდე აღნიშნა, რომ მან კომპანია ჩამოაყალიბა მაშინ, როდესაც ვერ გაიგე ავტოფარეხში გაკეთებული მაღაზიიდან მომავალი ზარის ხმა."
89,17,1,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","ადრე, რინგის აღმასრულებელმა დირექტორმა, ჯეიმი სიმინოფმა, აღნიშნა, რომ კომპანიამ დაიწყო, როდესაც მისი კარის ზარი არ ისმოდა მისი სახელოსნოდან მის ავტოფარეხში.",kona,"Ring-ის აღმასრულებელმა დირექტორმა, ჯეიმი სიმონოვმა მანამდე აღნიშნა, რომ მან კომპანია ჩამოაყალიბა მაშინ, როდესაც ვერ გაიგე ავტოფარეხში გაკეთებული მაღაზიიდან მომავალი ზარის ხმა."
24,18,1,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","წინასწარ, Ring's CEO, Jamie Siminoff, აღნიშნა, რომ კომპანია დაიწყო, როდესაც მისი კარიბლი არ იყო მოსალოდნელი მისი მაღაზიაში მისი garage.",small100,"Ring-ის აღმასრულებელმა დირექტორმა, ჯეიმი სიმონოვმა მანამდე აღნიშნა, რომ მან კომპანია ჩამოაყალიბა მაშინ, როდესაც ვერ გაიგე ავტოფარეხში გაკეთებული მაღაზიიდან მომავალი ზარის ხმა."
59,19,1,"He built a WiFi door bell, he said.","მან ააშენა WiFi კარზე ზარი, თქვა მან.",google_sheet,მისი თქმით მან WiFi-სთან დაკავშირებული კარის ზარი შექმნა.
85,20,1,"He built a WiFi door bell, he said.","მან ააწყო WiFi-ს კარის ზარი, თქვა მან.",kona,მისი თქმით მან WiFi-სთან დაკავშირებული კარის ზარი შექმნა.
40,21,1,"He built a WiFi door bell, he said.","მან აშენდა WiFi კარი ბლოკი, მან განაცხადა.",small100,მისი თქმით მან WiFi-სთან დაკავშირებული კარის ზარი შექმნა.
76,22,1,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"სიმინოფმა თქვა, რომ გაყიდვები გაიზარდა 2013 წელს ზვიგენის ტანკის ეპიზოდში გამოჩენის შემდეგ, სადაც შოუს პანელმა უარი თქვა სტარტაპის დაფინანსებაზე.",google_sheet,"სიმინოფმა განაცხადა, რომ გაყიდვები გაიზარდა 2013 წელს, გადაცემა Shark Tank-ის ეპიზოდის შემდეგ, როდესაც გადაცემის ჟიურიმ სტარტაპის დაფინანსებაზე უარი განაცხადა."
71,23,1,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"სიმინოფმა თქვა, რომ გაყიდვები გაიზარდა 2013 წელს ზვიგენის ავზის ეპიზოდში გამოსვლის შემდეგ, სადაც შოუს პანელმა უარი თქვა სტარტაპის დაფინანსებაზე.",kona,"სიმინოფმა განაცხადა, რომ გაყიდვები გაიზარდა 2013 წელს, გადაცემა Shark Tank-ის ეპიზოდის შემდეგ, როდესაც გადაცემის ჟიურიმ სტარტაპის დაფინანსებაზე უარი განაცხადა."
40,24,1,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff განაცხადა, რომ სავაჭრო გაზრდა მისი 2013 გამოჩენის შემდეგ Shark Tank ეფექტში, სადაც შუა პანელი შეარჩიეს დაფინანსებას სტუდენტი.",small100,"სიმინოფმა განაცხადა, რომ გაყიდვები გაიზარდა 2013 წელს, გადაცემა Shark Tank-ის ეპიზოდის შემდეგ, როდესაც გადაცემის ჟიურიმ სტარტაპის დაფინანსებაზე უარი განაცხადა."
99,25,1,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 წლის ბოლოს, სიმინოფი გამოჩნდა სავაჭრო სატელევიზიო არხზე QVC.",google_sheet,სიმინოფი სატელევიზიო მაღაზია QVC-ის არხზე 2017 წლის ბოლოს გამოჩნდა.
85,26,1,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 წლის ბოლოს, სიმინოფი გამოჩნდა საყიდლებზე სატელევიზიო არხზე QVC.",kona,სიმინოფი სატელევიზიო მაღაზია QVC-ის არხზე 2017 წლის ბოლოს გამოჩნდა.
71,27,1,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 წლის ბოლოს, Siminoff გამოვიდა სავაჭრო ტელევიზია Channel QVC.",small100,სიმინოფი სატელევიზიო მაღაზია QVC-ის არხზე 2017 წლის ბოლოს გამოჩნდა.
100,28,1,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","რინგმა ასევე მოაგვარა სარჩელი კონკურენტ უსაფრთხოების კომპანიასთან, ADT Corporation-თან.",google_sheet,კომპანია Ring-მა ასევე მოაგვარა სარჩელი უსაფრთხოების კონკურენტ კომპანიასთან ADT.
100,29,1,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring-მა ასევე მოაგვარა სარჩელი კონკურენტულ უსაფრთხოების კომპანიასთან, ADT Corporation-თან.",kona,კომპანია Ring-მა ასევე მოაგვარა სარჩელი უსაფრთხოების კონკურენტ კომპანიასთან ADT.
51,30,1,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring ასევე გადაწყვიტა მოადგილე კონკურენტული უსაფრთხოების კომპანია, ADT Corporation.",small100,კომპანია Ring-მა ასევე მოაგვარა სარჩელი უსაფრთხოების კონკურენტ კომპანიასთან ADT.
86,31,1,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","მიუხედავად იმისა, რომ ერთ ექსპერიმენტულ ვაქცინას, როგორც ჩანს, შეუძლია შეამციროს ებოლას სიკვდილიანობა, აქამდე არც ერთი წამალი აშკარად არ არის დადასტურებული, რომ შესაფერისია არსებული ინფექციის სამკურნალოდ.",google_sheet,"მიუხედავად იმისა, რომ ერთ ექსპერიმენტალურ ვაქცინას როგორც ჩანს შეუძლია ებოლას სიკვდილიანობის შემცირება, ამ დრომდე, არც ერთი წამალი აშკარად არ ჩაითვალა შესაფერისად, რომ არსებული ინფექცია განეკურნა."
96,32,1,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","მიუხედავად იმისა, რომ ერთი ექსპერიმენტული ვაქცინა, როგორც ჩანს, ამცირებს ებოლას სიკვდილიანობას, აქამდე არ გამოვლენილა არანაირი პრეპარატი, რომელიც შესაფერისია არსებული ინფექციის სამკურნალოდ.",kona,"მიუხედავად იმისა, რომ ერთ ექსპერიმენტალურ ვაქცინას როგორც ჩანს შეუძლია ებოლას სიკვდილიანობის შემცირება, ამ დრომდე, არც ერთი წამალი აშკარად არ ჩაითვალა შესაფერისად, რომ არსებული ინფექცია განეკურნა."
34,33,1,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","მიუხედავად იმისა, რომ ერთი ექსპერიმენტური ვიქნია, რომ შეუძლია შეამციროს Ebola მკვლელობას, ამჟამად, არ არსებობს ნარკოტიკები ნათქვამად აჩვენა, რომ მოიცავს არსებული ინფექციების მკურნალობა.",small100,"მიუხედავად იმისა, რომ ერთ ექსპერიმენტალურ ვაქცინას როგორც ჩანს შეუძლია ებოლას სიკვდილიანობის შემცირება, ამ დრომდე, არც ერთი წამალი აშკარად არ ჩაითვალა შესაფერისად, რომ არსებული ინფექცია განეკურნა."
68,34,1,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","ერთი ანტისხეულების კოქტეილი, ZMapp, თავდაპირველად აჩვენა დაპირება ამ სფეროში, მაგრამ ოფიციალურმა კვლევებმა აჩვენა, რომ მას ნაკლები სარგებელი მოაქვს, ვიდრე ცდილობდა სიკვდილის თავიდან აცილებაში.",google_sheet,"ანტისხეულების ერთი ნარევი, Zmapp თავიდან იმედისმომცემად გამოიყურებოდა სფეროში, მაგრამ ოფიციალურმა კვლევებმა აჩვენა, რომ სიკვდილის პრევენციის მხრივ მას მოლოდინზე უფრო ნაკლები შედეგი აქვს."
76,35,1,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","ანტისხეულების კოქტეილის ერთ-ერთმა, ZMapp-მა, თავდაპირველად აჩვენა დაპირება ველში, მაგრამ ოფიციალურმა კვლევებმა აჩვენა, რომ მას ნაკლები სარგებელი ჰქონდა, ვიდრე ეძებდნენ სიკვდილის თავიდან აცილებაში.",kona,"ანტისხეულების ერთი ნარევი, Zmapp თავიდან იმედისმომცემად გამოიყურებოდა სფეროში, მაგრამ ოფიციალურმა კვლევებმა აჩვენა, რომ სიკვდილის პრევენციის მხრივ მას მოლოდინზე უფრო ნაკლები შედეგი აქვს."
47,36,1,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","One antibody cocktail, ZMapp, პირველად აჩვენა სფეროში შეთანხმება, მაგრამ ფორმალური კვლევა აჩვენა, რომ მას აქვს ნაკლებად უპირატესობა, ვიდრე ეძებს სიკვდილის თავიდან.",small100,"ანტისხეულების ერთი ნარევი, Zmapp თავიდან იმედისმომცემად გამოიყურებოდა სფეროში, მაგრამ ოფიციალურმა კვლევებმა აჩვენა, რომ სიკვდილის პრევენციის მხრივ მას მოლოდინზე უფრო ნაკლები შედეგი აქვს."
77,37,1,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","PALM საცდელში, ZMapp ემსახურებოდა როგორც საკონტროლო, რაც იმას ნიშნავს, რომ მეცნიერებმა გამოიყენეს ის, როგორც საბაზისო და შეადარეს მას სამი სხვა მკურნალობა.",google_sheet,"ZMapp-ს მაკონტროლებელი ფუნქცია ჰქონდა PALM-ის კვლევის ფარგლებში, რაც ნიშნავდა იმას, რომ მეცნიერები მას სტანდარტულ კრიტერიუმად იყენებდნენ, რომელთანაც დანარჩენ სამ მკურნალობას ადარებდნენ."
90,38,1,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","PALM-ის ცდაში, ZMapp-მა შეასრულა საკონტროლოს როლი, რაც ნიშნავს, რომ მეცნიერებმა ის გამოიყენეს როგორც საბაზისო და შეადარეს მას სამი სხვა მკურნალობა.",kona,"ZMapp-ს მაკონტროლებელი ფუნქცია ჰქონდა PALM-ის კვლევის ფარგლებში, რაც ნიშნავდა იმას, რომ მეცნიერები მას სტანდარტულ კრიტერიუმად იყენებდნენ, რომელთანაც დანარჩენ სამ მკურნალობას ადარებდნენ."
42,39,1,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","PALM ტურში, ZMapp მუშაობდა კონტროლი, რაც იმას ნიშნავს, რომ მკვლევარები გამოიყენეს მას ბაზარზე და შედარებით სხვა სამი მკურნალობა მასთან.",small100,"ZMapp-ს მაკონტროლებელი ფუნქცია ჰქონდა PALM-ის კვლევის ფარგლებში, რაც ნიშნავდა იმას, რომ მეცნიერები მას სტანდარტულ კრიტერიუმად იყენებდნენ, რომელთანაც დანარჩენ სამ მკურნალობას ადარებდნენ."
90,40,1,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,"USA Gymnastics მხარს უჭერს შეერთებული შტატების ოლიმპიური კომიტეტის წერილს და იღებს ოლიმპიური ოჯახის აბსოლუტურ საჭიროებას, ხელი შეუწყოს უსაფრთხო გარემოს ყველა ჩვენი სპორტსმენისთვის.",google_sheet,"შეერთებული შტატების ოლიმპიური კომიტეტის წერილს უჭერს მხარს „აშშ ტანვარჯიში“ და ოლიმპიური ოჯახის კატეგორიულ მოთხოვნას ეთანხმება, ყველა სპორტსმენისთვის უზრუნველყოფილი იქნეს უსაფრთხო გარემო."
90,41,1,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,"USA Gymnastics მხარს უჭერს შეერთებული შტატების ოლიმპიური კომიტეტის წერილს და იღებს ოლიმპიური ოჯახის აბსოლუტურ საჭიროებას, ხელი შეუწყოს უსაფრთხო გარემოს ყველა ჩვენი სპორტსმენისთვის.",kona,"შეერთებული შტატების ოლიმპიური კომიტეტის წერილს უჭერს მხარს „აშშ ტანვარჯიში“ და ოლიმპიური ოჯახის კატეგორიულ მოთხოვნას ეთანხმება, ყველა სპორტსმენისთვის უზრუნველყოფილი იქნეს უსაფრთხო გარემო."
49,42,1,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,"USA Gymnastics მხარდაჭერა აშშ-ის ოლიმპიური კომიტეტის წერილი და აღიარებს ოლიმპიური ოჯახის უმაღლესი საჭიროება, რათა გაუმჯობესოს უსაფრთხო გარემოს ყველა ჩვენი მოთამაშეებისთვის.",small100,"შეერთებული შტატების ოლიმპიური კომიტეტის წერილს უჭერს მხარს „აშშ ტანვარჯიში“ და ოლიმპიური ოჯახის კატეგორიულ მოთხოვნას ეთანხმება, ყველა სპორტსმენისთვის უზრუნველყოფილი იქნეს უსაფრთხო გარემო."
62,43,1,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","ჩვენ ვეთანხმებით USOC-ის განცხადებას, რომ ჩვენი სპორტსმენების და კლუბების ინტერესებს და მათ სპორტს შეიძლება უკეთესად მოემსახუროს ჩვენი ორგანიზაციის ფარგლებში მნიშვნელოვანი ცვლილებებით წინსვლას და არა სერტიფიცირებას.",google_sheet,"ჩვენ ვეთანხმებით შეერთებული შტატების ოლიმპიური და პარაოლიმპიური კომიტეტის განცხადებას, რომ ჩვენი კლუბებისა და ათლეტების ინტერესები, ასევე მათი სპორტიც, შესაძლოა გაუმჯობესდეს ჩვენს ორგანიზაციაში შიდა არსებითი ცვლილებებით და არა სერტიფიცირებაზე უარის თქმით."
